cityName,content,gender ,nickName,userLevel,score,time,date,evaluate
广州,超级烂  到最后竟然让一个兵去救皇帝 将军不去救 这是对我们最大污辱 真不知是怎样过审核的,1,衰囝,3,0.5,2020-09-15 17:47:12,2020-09-15,差评
晋城,垃圾垃圾垃圾，重要的事情说三遍，都想中途出去，但是想了想花了钱，忍住，花木兰再也不是传奇了,2,A王晨芮半永久眉眼唇微整形,2,0.5,2020-09-15 17:47:08,2020-09-15,差评
沈阳,刘亦菲演的表情木纳，剧情里的女巫角色无法认同,0,~领悟~,1,1.5,2020-09-15 17:46:40,2020-09-15,差评
海口,外国人拍中国典故有点不到位！,0,型英靓爆镜,2,3.0,2020-09-15 17:46:30,2020-09-15,unkown
泉州,不太行，主要还是去看刘亦菲的,2,biangbiang🦉,2,1.0,2020-09-15 17:46:26,2020-09-15,unkown
宣城,神仙姐姐绝了！！！！,0,七十二时936,1,5.0,2020-09-15 17:45:44,2020-09-15,好评
乐清,人害怕之后才会勇敢,0,Bi,2,5.0,2020-09-15 17:45:43,2020-09-15,unkown
上海,挺好看得电影,2,vUx999768875,2,5.0,2020-09-15 17:45:27,2020-09-15,好评
成都,给个10分！,1,链家-百晓生、东南,2,5.0,2020-09-15 17:45:13,2020-09-15,好评
长春,又烂又扯感觉强行安了花木兰的名头似的，电影一结束我就把评论里说是烂片的评论都赞了一遍,0,XrI624758951,3,0.5,2020-09-15 17:45:08,2020-09-15,差评
江津,不是专业影评，但我记得这次刘亦菲真的很燃啊，脱去偶像包袱，值得一看,2,一棵。。,2,5.0,2020-09-15 17:44:45,2020-09-15,unkown
上饶,一集杀了五个人，还有一个不确定砍到没,0,召唤，可乐🌟,3,2.5,2020-09-15 17:43:35,2020-09-15,购票
广州,剧情。。。。。很一般,2,ʟᴜ~lala,2,2.5,2020-09-15 17:42:49,2020-09-15,购票
长沙,超级好看，刘亦菲演技派,0,MI米,3,5.0,2020-09-15 17:42:43,2020-09-15,好评
上海,啊这，改的毫无逻辑可言了,2,陈晓的脸,2,2.5,2020-09-15 17:42:31,2020-09-15,unkown
玉溪,还行，就是感觉有点美式,0,xGB211594948,1,4.0,2020-09-15 17:42:22,2020-09-15,好评
玉溪,还行，就是感觉有点美式,0,xGB211594948,1,4.0,2020-09-15 17:42:21,2020-09-15,好评
合肥,神仙姐姐演的超级好。不知道为啥那么多恶意差评。估计好片都是这样，烂片水军太多。素颜超抗打。演的很热血。就是结局和文言文不太一样。还是比较喜欢最后的惊艳。不过不影响对这部片的喜欢。,2,啊慧,3,5.0,2020-09-15 17:42:10,2020-09-15,unkown
北京,非常完美，刘亦菲演技没的说，几个情节特别感人。,2,福姐姐,1,5.0,2020-09-15 17:42:09,2020-09-15,好评
许昌,整体很好看 缺少一些细节女性看了可能会更能带入 激励做真实的自己很喜欢刘亦菲 很有气质 很带入角色感觉,2,两岁的珍妮,3,4.5,2020-09-15 17:41:58,2020-09-15,unkown
武汉,上万的人的打斗场面，被拍成玩游戏,0,Vzr628941761,2,2.0,2020-09-15 17:38:35,2020-09-15,unkown
拉萨,一般，建议家里观看。,1,Jayzha,4,4.0,2020-09-15 17:38:04,2020-09-15,好评
淮安,喜欢，剧情可以不拖沓，场面宏伟。除了凤凰有些出戏大都很好,2,长生殿,2,4.5,2020-09-15 17:38:02,2020-09-15,unkown
霍邱,两个女演员非常棒，网上一片黑，台词布景那都是老美的感觉，就当动画片看，不过迪士尼动画片也是有金典台词的啊？不管了，看哭了两次，总是有闪光的地方。巩俐演技太棒，一个没有内涵的角色，中箭那一刻，居然流泪了？what？她眼神太到位👍刘亦菲不容易，各种突破，其实她一直不是花瓶，她只是一个有价值的青花瓷，现在成青铜器了！哈哈哈😄将和父亲的角色也非常到位，第二次感动来源于父女情深，回来的感动。最后怎么说呢？美国人是好意，大女主的戏，郑佩佩的媒婆晕倒，忽然感觉相似于，《乱世佳人》斯佳丽重逢瑞特，突破寡妇的禁忌去义卖跳舞💃🏻，贝蒂姑妈晕倒的画面。也想美国人用《花木兰》，叙述的重来都是自己理解的故事……,0,hMl895988224,1,5.0,2020-09-15 17:37:33,2020-09-15,好评
长沙,冒着雨来看我女神演的电影 今天生日有女神陪伴 真是幸运,2,y7u7,3,5.0,2020-09-15 17:37:28,2020-09-15,好评
贵阳,看过最尬的电影，不伦不类,0,安印229,4,1.5,2020-09-15 17:36:16,2020-09-15,unkown
德阳,感觉挺不错的，没有网上说得那么差，剧情有点问题，可能是中西文化差异导致的，演员说真的，挺棒！,2,夏筱菲儿,1,5.0,2020-09-15 17:36:10,2020-09-15,unkown
天津,感觉不怎么好 可能是期待太高了吧……,2,你的老干妈,2,0.5,2020-09-15 17:35:57,2020-09-15,unkown
曲靖,感觉比起预告片有删减啊 比较期待英文版的 中文版看会跳戏 哈哈哈哈,0,你大傻,2,3.5,2020-09-15 17:35:35,2020-09-15,购票
惠阳,不怎么样没有看点,2,拒绝融化的冰,1,3.0,2020-09-15 17:35:14,2020-09-15,unkown
北京,神仙姐姐颜值还是在线的，演技就不能谈,0,wlC874936044,2,1.5,2020-09-15 17:34:48,2020-09-15,差评
昆明,棒！刘亦菲真漂亮,2,07,2,5.0,2020-09-15 17:34:32,2020-09-15,unkown
成都,hao kan,0,智慧smart,2,5.0,2020-09-15 17:34:19,2020-09-15,好评
武威,刘亦菲真的美绝了。做你自己❤️,0,思凡,2,5.0,2020-09-15 17:33:16,2020-09-15,unkown
南京,总体还可以，剧情有删减点,1,随风,3,4.0,2020-09-15 17:33:02,2020-09-15,unkown
柳州,故事单一，内涵少一点,0,淑叶,3,3.0,2020-09-15 17:32:45,2020-09-15,购票
上海,个人感觉还是挺好看的！神仙姐姐演技爆表！整体的剧情还算不错，只不过没想到连皇帝武功都这么高。。,1,Nick🎾,3,5.0,2020-09-15 17:32:30,2020-09-15,好评
衡阳,影片没看，下面没有字母，耳朵听不见，影院又不提供3G眼镜，离场没看了,0,王大侠,2,0.5,2020-09-15 17:32:10,2020-09-15,差评
辉县,刘亦菲赛高爱了,1,李瑞璞,1,5.0,2020-09-15 17:32:09,2020-09-15,好评
重庆,剧情太跳跃了，内容不够丰满，最后半小时稀里糊涂就结束了，没有体现出木兰这个角色的勇敢，女性在战场上的英勇，最后半小时感觉主角光环太强了,0,希达🌸,4,3.0,2020-09-15 17:32:05,2020-09-15,购票
武安,一般般，不是很好看的,0,Ifi100859558,2,3.5,2020-09-15 17:31:43,2020-09-15,购票
三亚,一般般吧，get到了刘亦菲的颜，但是剧情真是尴尬的我脚趾抠出了个大别野,1,k173,2,2.5,2020-09-15 17:31:15,2020-09-15,unkown
兰州,7.5是怎么评的呢   一群中国人说着外语   我却带着耳机刷这抖音,2,筱筱93,4,0.5,2020-09-15 17:30:54,2020-09-15,unkown
仙居,感觉剧情狗血无厘头,1,青泥火炉,2,2.0,2020-09-15 17:30:52,2020-09-15,unkown
西安,迪士尼版的花木兰，本来就是奇幻童话风，而且全球宣扬中国文化，一定要支持，喜欢看历史正剧的或者细节控的可以选择不看，没审美就不能看！另外刘亦菲真的很棒，全球首位迪士尼华人公主，不是谁都可以！,2,RLCM361,2,5.0,2020-09-15 17:30:09,2020-09-15,好评
